drug,cell_line_id,n_cells
Adenosine,CVCL_0099,2642
Clopidogrel,CVCL_1724,2642
Ralimetinib dimesylate,CVCL_0179,2642
Pemetrexed,CVCL_0069,2641
Penfluridol,CVCL_0152,2641
Mozavaptan,CVCL_0131,2640
(R)-Verapamil (hydrochloride),CVCL_1239,2639
BAY1125976,CVCL_1693,2639
Vandetanib,CVCL_C466,2639
γ-Oryzanol,CVCL_0179,2639
ERK5-IN-2,CVCL_1693,2638
Lumateperone (tosylate),CVCL_0028,2637
Neratinib (maleate),CVCL_1239,2637
Methylprednisolone succinate,CVCL_1517,2637
Sonidegib,CVCL_0218,2637
Decitabine,CVCL_0152,2637
MK-3903,CVCL_1635,2637
Verapamil,CVCL_0366,2636
TAK-733,CVCL_1094,2636
Fedratinib (hydrochloride hydrate),CVCL_0179,2636
Daptomycin,CVCL_0366,2635
Peretinoin,CVCL_1666,2635
Baicalin,CVCL_0028,2635
Aspirin,CVCL_0179,2634
Hydroxyurea,CVCL_0359,2634
Temuterkib,CVCL_1055,2634
Epirubicin (hydrochloride),CVCL_1731,2634
Penfluridol,CVCL_0293,2633
Penfluridol,CVCL_1717,2633
Dexamethasone,CVCL_0366,2632
Belumosudil (mesylate),CVCL_1094,2631
Tadalafil,CVCL_C466,2631
Pitavastatin (Calcium),CVCL_1285,2630
Encorafenib,CVCL_1724,2630
Panobinostat,CVCL_0218,2630
Betamethasone dipropionate,CVCL_0099,2629
Sulfatinib,CVCL_C466,2629
Ivabradine (hydrochloride),CVCL_C466,2628
SBI-0640756,CVCL_0023,2628
Silodosin,CVCL_0099,2627
Ixazomib,CVCL_0292,2627
Pioglitazone,CVCL_0179,2627
Orlistat,CVCL_0218,2627
Entecavir (monohydrate),CVCL_1724,2626
Roxadustat,CVCL_0292,2626
Glycyrrhizic acid,CVCL_0131,2626
Vismodegib,CVCL_C466,2626
Elimusertib hydrochloride,CVCL_1055,2626
Verteporfin,CVCL_0099,2625
Alpelisib,CVCL_0179,2625
Docetaxel (Trihydrate),CVCL_1055,2623
Eplerenone,CVCL_1239,2622
Ixazomib,CVCL_1094,2622
AZD1390,CVCL_0332,2622
Sildenafil,CVCL_0179,2622
Demeclocycline,CVCL_1724,2621
Cabozantinib (S-malate),CVCL_0179,2621
Panobinostat,CVCL_0366,2620
Lapatinib ditosylate,CVCL_0334,2619
Docetaxel (Trihydrate),CVCL_1731,2619
LB-100,CVCL_0334,2619
Torkinib,CVCL_1055,2618
Saquinavir,CVCL_0069,2617
Sunitinib,CVCL_1547,2616
Apalutamide,CVCL_1517,2615
Verteporfin,CVCL_1731,2615
Pemigatinib,CVCL_0023,2615
Larotrectinib sulfate,CVCL_0179,2615
Mozavaptan,CVCL_1478,2615
Brivudine,CVCL_0334,2615
ML264,CVCL_1724,2614
Allantoin,CVCL_0292,2613
Regorafenib,CVCL_0028,2613
Salicylic acid,CVCL_1239,2613
DT-061,CVCL_0069,2612
OTS514,CVCL_1666,2612
Belzutifan,CVCL_0152,2612
Erythromycin,CVCL_1055,2612
crizotinib,CVCL_0366,2611
Trifluridine,CVCL_1724,2611
Clofarabine,CVCL_1635,2610
Tofacitinib (citrate),CVCL_1724,2610
Pemetrexed,CVCL_1055,2610
Procainamide (hydrochloride),CVCL_1666,2610
Minodronic acid,CVCL_1239,2609
Hydroxyfasudil,CVCL_1098,2608
Fenofibrate,CVCL_0179,2607
Econazole,CVCL_1098,2607
Clobetasol propionate,CVCL_0366,2606
Simotinib,CVCL_1635,2606
c-Kit-IN-1,CVCL_1495,2605
Dapagliflozin,CVCL_1125,2605
vincristine,CVCL_0371,2605
Sulfatinib,CVCL_1517,2605
BI-78D3,CVCL_1094,2605
Glycyrrhizic acid,CVCL_1055,2604
SBI-0640756,CVCL_0320,2604
"Dapagliflozin ((2S)-1,2-propanediol, hydrate)",CVCL_0023,2604
Lidocaine (hydrochloride),CVCL_0179,2604
Tadalafil,CVCL_0179,2603
XRK3F2,CVCL_1666,2603
Fenofibrate,CVCL_1517,2602
Auranofin,CVCL_0292,2602
Neratinib,CVCL_C466,2602
Triamcinolone,CVCL_1724,2602
Cilostazol,CVCL_0179,2602
AZD-8055,CVCL_0428,2602
Infigratinib,CVCL_0334,2602
Ralimetinib dimesylate,CVCL_0366,2601
Brimonidine,CVCL_1724,2601
Eplerenone,CVCL_1517,2601
Saquinavir,CVCL_0218,2601
Ferulic acid,CVCL_1717,2600
Pasireotide (acetate),CVCL_0028,2600
Rimonabant,CVCL_1239,2600
Triclosan,CVCL_0099,2600
Ritonavir,CVCL_1724,2600
Nimesulide,CVCL_1094,2600
Ciclopirox,CVCL_0292,2599
Tomivosertib,CVCL_1055,2599
Fedratinib (hydrochloride hydrate),CVCL_1055,2599
Procainamide (hydrochloride),CVCL_0292,2598
Bimiralisib,CVCL_0292,2598
IQ 1,CVCL_1666,2598
Irinotecan (hydrochloride),CVCL_1125,2598
Abiraterone acetate,CVCL_1098,2597
Ixazomib citrate,CVCL_1055,2597
Auranofin,CVCL_1547,2596
XRK3F2,CVCL_1098,2596
Procainamide (hydrochloride),CVCL_1055,2595
Dexamethasone,CVCL_1239,2595
Ferulic acid,CVCL_1055,2595
Sonidegib,CVCL_0292,2595
Lidocaine (hydrochloride),CVCL_0069,2594
Capivasertib,CVCL_1055,2594
Carbamazepine,CVCL_C466,2593
Futibatinib,CVCL_0428,2593
Entrectinib,CVCL_1098,2593
Menadione,CVCL_0023,2593
Celecoxib,CVCL_0397,2592
Clofarabine,CVCL_0359,2592
Ferulic acid,CVCL_0152,2592
Mozavaptan,CVCL_1666,2592
Rimonabant,CVCL_0028,2592
Econazole,CVCL_1724,2591
Methyl aminolevulinate (hydrochloride),CVCL_1098,2591
Bimatoprost,CVCL_1724,2590
Tranilast,CVCL_1517,2590
Belumosudil,CVCL_0028,2590
Benproperine (phosphate),CVCL_C466,2589
Diphenhydramine,CVCL_1098,2589
Tomivosertib,CVCL_0428,2588
Clobetasol propionate,CVCL_C466,2588
Thymol,CVCL_1693,2588
HI-TOPK-032,CVCL_1094,2587
Hydroxyurea,CVCL_1055,2587
Ixazomib,CVCL_0069,2587
Cilostazol,CVCL_1239,2587
Digitoxin,CVCL_0371,2586
Belzutifan,CVCL_0504,2586
MK-8353,CVCL_0292,2586
Verteporfin,CVCL_1666,2586
Neratinib,CVCL_1239,2585
Aliskiren,CVCL_0099,2585
Imiquimod (maleate),CVCL_1550,2585
Vismodegib,CVCL_1055,2584
Verteporfin,CVCL_1055,2584
Megestrol,CVCL_0099,2583
Fedratinib (hydrochloride hydrate),CVCL_1239,2583
Azithromycin (hydrate),CVCL_0334,2582
Macitentan,CVCL_0366,2581
Ferulic acid,CVCL_0069,2581
Benproperine (phosphate),CVCL_1517,2580
Penfluridol,CVCL_1478,2580
Trimetrexate,CVCL_0292,2580
Loperamide (hydrochloride),CVCL_0179,2579
BAY1125976,CVCL_1724,2579
Mifepristone,CVCL_0218,2577
LY-2584702 (tosylate salt),CVCL_1285,2577
Bentamapimod,CVCL_1094,2576
Palmatine (chloride),CVCL_1239,2576
LY2090314,CVCL_0428,2575
Bortezomib,CVCL_0292,2574
Methylprednisolone succinate,CVCL_1666,2574
Tadalafil,CVCL_1239,2574
Hydroxyurea,CVCL_0218,2574
Pemetrexed,CVCL_1478,2573
ULK-101,CVCL_1635,2573
Auranofin,CVCL_0366,2573
Temuterkib,CVCL_0292,2573
Oxaprozin,CVCL_1094,2572
Belumosudil (mesylate),CVCL_0179,2572
Capivasertib,CVCL_0069,2572
Pimozide,CVCL_0292,2571
Bexarotene,CVCL_0179,2571
Celecoxib,CVCL_1478,2571
Pentagastrin,CVCL_1239,2571
AZD2858,CVCL_0320,2569
Bisoprolol (hemifumarate),CVCL_1666,2569
Pasireotide (acetate),CVCL_1239,2568
Doxorubicin (hydrochloride),CVCL_0292,2568
Bendamustine,CVCL_1097,2566
Ouabain (Octahydrate),CVCL_1724,2566
Levobupivacaine (hydrochloride),CVCL_0179,2566
Elagolix sodium,CVCL_1724,2566
Silodosin,CVCL_1666,2565
Penfluridol,CVCL_0397,2565
Glycyrrhizic acid,CVCL_1635,2564
Digitoxin,CVCL_0366,2563
Doxycycline (monohydrate),CVCL_1094,2563
Megestrol,CVCL_1239,2563
Infigratinib,CVCL_0069,2562
TAK-733,CVCL_1098,2561
Glycyrrhizic acid,CVCL_0332,2561
Methylprednisolone succinate,CVCL_0218,2561
Glasdegib,CVCL_1724,2561
Cabozantinib (S-malate),CVCL_1239,2560
Penfluridol,CVCL_0359,2559
Homoharringtonine,CVCL_1381,2559
Tomivosertib,CVCL_0069,2558
EX229,CVCL_1731,2558
Ipatasertib,CVCL_1055,2558
LY2090314,CVCL_0334,2558
Hydroxyurea,CVCL_0099,2558
palbociclib,CVCL_0366,2558
Procainamide (hydrochloride),CVCL_0218,2557
HI-TOPK-032,CVCL_1547,2557
Ixazomib citrate,CVCL_1517,2557
Ferulic acid,CVCL_0292,2557
Torkinib,CVCL_0069,2557
Tadalafil,CVCL_0366,2556
LY-2584702 (tosylate salt),CVCL_1550,2556
Dinaciclib,CVCL_1119,2555
Cysteamine (hydrochloride),CVCL_1239,2555
EX229,CVCL_0218,2554
Betamethasone dipropionate,CVCL_0292,2553
Diphenhydramine,CVCL_1724,2553
SBI-0640756,CVCL_0504,2553
Pimozide,CVCL_0099,2553
Bisoprolol (hemifumarate),CVCL_0292,2552
Apalutamide,CVCL_0179,2552
Panobinostat,CVCL_1724,2552
PH-797804,CVCL_0332,2551
PF-06260933,CVCL_0179,2551
Pimitespib,CVCL_0332,2551
Simotinib,CVCL_1055,2551
PH-797804,CVCL_1731,2550
Digitoxin,CVCL_0292,2550
Bimiralisib,CVCL_1495,2549
Clofarabine,CVCL_0293,2549
Erdafitinib,CVCL_1097,2549
Ferulic acid,CVCL_0397,2549
AZD1390,CVCL_0366,2548
Ipatasertib,CVCL_1666,2548
Pitavastatin (Calcium),CVCL_0320,2548
XRK3F2,CVCL_0179,2547
RMC-6236,CVCL_1239,2546
Ipatasertib,CVCL_1094,2546
SBI-0640756,CVCL_0131,2546
Roxadustat,CVCL_0218,2545
palbociclib,CVCL_1495,2545
Pitavastatin (Calcium),CVCL_0504,2545
Belzutifan,CVCL_0131,2545
AT7519,CVCL_1693,2545
Ivermectin,CVCL_1239,2544
APTO-253,CVCL_0428,2544
Belzutifan,CVCL_0371,2544
Tranilast,CVCL_1239,2543
Silodosin,CVCL_1094,2543
Docetaxel (Trihydrate),CVCL_1097,2542
AZD1390,CVCL_0179,2542
Dexmedetomidine,CVCL_1517,2542
Tirabrutinib,CVCL_1724,2541
Hesperidin,CVCL_0366,2541
Proglumide,CVCL_1239,2541
Mifepristone,CVCL_1517,2540
Retinoic acid,CVCL_0028,2540
Roxadustat,CVCL_0099,2539
LB-100,CVCL_1724,2539
Silodosin,CVCL_0292,2538
Finasteride,CVCL_1731,2536
Simotinib,CVCL_0504,2536
Posaconazole,CVCL_0179,2535
Bosentan (hydrate),CVCL_1094,2535
Sonidegib,CVCL_0366,2534
Doxorubicin (hydrochloride),CVCL_1731,2534
Levobupivacaine (hydrochloride),CVCL_0366,2534
TAK-901,CVCL_1635,2534
Auranofin,CVCL_1055,2534
Daptomycin,CVCL_1547,2533
Methylprednisolone succinate,CVCL_0099,2533
Docetaxel (Trihydrate),CVCL_0332,2533
Pimitespib,CVCL_1098,2532
palbociclib,CVCL_0332,2532
BI-78D3,CVCL_1098,2532
HI-TOPK-032,CVCL_0179,2531
Vitamin K4,CVCL_0179,2531
Glycyrrhizic acid,CVCL_0397,2531
"Dapagliflozin ((2S)-1,2-propanediol, hydrate)",CVCL_0293,2530
TAK-733,CVCL_1731,2530
Daptomycin,CVCL_C466,2530
Adenine,CVCL_1239,2530
Medroxyprogesterone acetate,CVCL_0334,2530
Amsacrine,CVCL_0099,2529
Silodosin,CVCL_1097,2529
Dexmedetomidine,CVCL_1239,2529
Rosiglitazone,CVCL_1517,2529
IQ 1,CVCL_1495,2528
Tubulin inhibitor 6,CVCL_0428,2527
Gallic acid (hydrate),CVCL_1724,2527
Imiquimod (maleate),CVCL_1381,2527
RMC-6236,CVCL_0069,2526
Procainamide (hydrochloride),CVCL_0131,2526
ULK-101,CVCL_0397,2526
Hydroxyurea,CVCL_0131,2526
Pemigatinib,CVCL_1119,2524
Bendamustine,CVCL_0218,2523
Vilanterol,CVCL_1724,2523
Arbutin,CVCL_1517,2522
Peretinoin,CVCL_0218,2522
Rosiglitazone,CVCL_0366,2522
Carbamazepine,CVCL_0218,2521
Menadione,CVCL_0504,2521
BI-3406,CVCL_1693,2520
Nevirapine,CVCL_1517,2519
Clofarabine,CVCL_0152,2518
Isocorydine,CVCL_1239,2518
Irinotecan,CVCL_1055,2517
Celecoxib,CVCL_1097,2516
Budesonide,CVCL_1517,2516
Piroxicam,CVCL_1724,2516
AZD-7648,CVCL_1635,2515
Tofacitinib,CVCL_1724,2515
vincristine,CVCL_0320,2515
Resveratrol,CVCL_1724,2515
Hesperidin,CVCL_0292,2515
Triclosan,CVCL_1239,2514
Diammonium Glycyrrhizinate,CVCL_0099,2514
Pemetrexed,CVCL_1666,2514
Sunitinib,CVCL_0292,2513
Belumosudil (mesylate),CVCL_0366,2513
Clofarabine,CVCL_1094,2513
Almonertinib (hydrochloride),CVCL_0334,2512
AZD2858,CVCL_0023,2512
Abemaciclib,CVCL_1239,2512
Oxaprozin,CVCL_1517,2512
EX229,CVCL_1094,2511
Bergenin,CVCL_1239,2510
Dorzolamide (hydrochloride),CVCL_1517,2510
vincristine,CVCL_0397,2510
Dabrafenib,CVCL_1239,2509
Betamethasone dipropionate,CVCL_0152,2508
Larotrectinib,CVCL_0334,2508
NG25,CVCL_0366,2507
Verteporfin,CVCL_1547,2507
Dihydroartemisinin,CVCL_1517,2506
Allantoin,CVCL_1239,2505
TAK-733,CVCL_0218,2505
"Dapagliflozin ((2S)-1,2-propanediol, hydrate)",CVCL_1478,2505
"Dapagliflozin ((2S)-1,2-propanediol, hydrate)",CVCL_0359,2504
Sulfatinib,CVCL_0179,2504
Palmatine (chloride),CVCL_0099,2503
Rifaximin,CVCL_0366,2502
Ixazomib citrate,CVCL_0069,2502
Lucanthone,CVCL_1098,2501
Tubulin inhibitor 6,CVCL_0334,2501
ETC-206,CVCL_0334,2501
NG25,CVCL_1495,2500
"Dapagliflozin ((2S)-1,2-propanediol, hydrate)",CVCL_0069,2500
NG25,CVCL_1731,2500
Cobimetinib,CVCL_0023,2499
Oxaprozin,CVCL_1055,2499
HI-TOPK-032,CVCL_0218,2499
Pemetrexed,CVCL_0397,2499
Imiquimod (maleate),CVCL_0371,2498
Dihydroartemisinin,CVCL_C466,2498
Pimitespib,CVCL_0366,2498
Ferulic acid,CVCL_0131,2497
LY-2584702 (tosylate salt),CVCL_0371,2496
18β-Glycyrrhetinic acid,CVCL_1693,2496
Panobinostat,CVCL_1125,2496
LJI308,CVCL_1547,2495
OTS514,CVCL_0218,2495
Mozavaptan,CVCL_1731,2493
Glycyrrhizic acid,CVCL_1731,2493
Retinoic acid,CVCL_1239,2491
Ipatasertib,CVCL_0069,2491
Vemurafenib,CVCL_0099,2490
MK-3903,CVCL_0359,2490
Nevirapine,CVCL_0366,2490
Abiraterone acetate,CVCL_1724,2489
Simotinib,CVCL_0332,2486
Cobimetinib,CVCL_1717,2485
Azithromycin (hydrate),CVCL_1724,2483
Topotecan (hydrochloride),CVCL_0028,2483
MK-8353,CVCL_1094,2483
vincristine,CVCL_1717,2482
AZD2858,CVCL_0371,2482
Eplerenone,CVCL_0179,2482
Daptomycin,CVCL_1098,2481
Sulfatinib,CVCL_0366,2481
Ferulic acid,CVCL_1666,2480
APTO-253,CVCL_0334,2480
Tucidinostat,CVCL_0099,2479
Tucatinib,CVCL_1239,2479
Betamethasone dipropionate,CVCL_1097,2479
ML264,CVCL_1055,2479
Infigratinib,CVCL_1055,2479
Capivasertib,CVCL_0428,2478
Mozavaptan,CVCL_0397,2478
venetoclax,CVCL_0428,2477
ML264,CVCL_0428,2477
Dorzolamide (hydrochloride),CVCL_C466,2477
Bosentan (hydrate),CVCL_0099,2476
Pralsetinib,CVCL_1239,2476
Larotrectinib,CVCL_1724,2475
Silodosin,CVCL_1731,2474
Cobimetinib,CVCL_0293,2474
CP21R7,CVCL_0218,2473
Filgotinib,CVCL_1724,2472
LY-2584702 (tosylate salt),CVCL_0320,2471
venetoclax,CVCL_1693,2471
ULK-101,CVCL_0504,2471
Clofarabine,CVCL_0292,2470
Raltitrexed,CVCL_0028,2470
Doxorubicin (hydrochloride),CVCL_0131,2470
GSK1059615,CVCL_1693,2470
Nevirapine,CVCL_1239,2469
Doxorubicin (hydrochloride),CVCL_0332,2468
Monocrotaline,CVCL_1517,2468
AT7519,CVCL_1724,2468
Macitentan,CVCL_0179,2468
Sodium Salicylate,CVCL_1239,2468
Ciclopirox,CVCL_1724,2467
Bisoprolol (hemifumarate),CVCL_1097,2467
Adenosine,CVCL_1239,2466
Bendamustine,CVCL_1547,2466
ML264,CVCL_0334,2465
Capivasertib,CVCL_1724,2465
Norepinephrine (hydrochloride),CVCL_1239,2465
Omeprazole (sodium),CVCL_1724,2464
Simotinib,CVCL_0069,2464
8-Hydroxyquinoline,CVCL_0028,2463
Dexamethasone,CVCL_1517,2462
Bimiralisib,CVCL_1693,2462
HI-TOPK-032,CVCL_1495,2462
Salicylic acid,CVCL_0099,2462
Belumosudil (mesylate),CVCL_0292,2461
Hydroxyurea,CVCL_1097,2461
Oxaprozin,CVCL_0366,2461
CP21R7,CVCL_1098,2459
Belzutifan,CVCL_1550,2459
Medroxyprogesterone acetate,CVCL_0292,2458
Ropivacaine (hydrochloride monohydrate),CVCL_1724,2458
Futibatinib,CVCL_0069,2458
Bergenin,CVCL_0099,2458
Idoxuridine,CVCL_0179,2457
Ouabain (Octahydrate),CVCL_1239,2456
Busulfan,CVCL_1724,2455
NVP-BHG712,CVCL_0332,2455
Cepharanthine,CVCL_1724,2455
Anastrozole,CVCL_0099,2453
"Dapagliflozin ((2S)-1,2-propanediol, hydrate)",CVCL_1717,2452
Ligustrazine,CVCL_1517,2452
Irinotecan,CVCL_1693,2452
Doxycycline (monohydrate),CVCL_1666,2451
Tofacitinib,CVCL_1239,2451
LJI308,CVCL_1635,2451
Erdafitinib,CVCL_1381,2451
Oleic acid,CVCL_0334,2451
LY-2584702 (tosylate salt),CVCL_0023,2451
Methylthiouracil,CVCL_1125,2450
Erythromycin,CVCL_1239,2450
Rosiglitazone,CVCL_C466,2449
NVP-BHG712,CVCL_1098,2449
HI-TOPK-032,CVCL_1666,2449
Nevirapine,CVCL_0179,2448
Proglumide,CVCL_1517,2447
Epirubicin (hydrochloride),CVCL_1097,2447
Lucanthone,CVCL_1724,2446
Olanzapine,CVCL_1239,2445
Oleic acid,CVCL_1724,2445
Cobimetinib,CVCL_0152,2445
Quinidine (15% dihydroquinidine),CVCL_0179,2444
Macitentan,CVCL_C466,2442
Phenylephrine (hydrochloride),CVCL_1098,2442
palbociclib,CVCL_0292,2442
Simotinib,CVCL_1478,2441
Thymol,CVCL_0428,2441
Levobupivacaine (hydrochloride),CVCL_1239,2440
Fenofibrate,CVCL_1239,2440
Riluzole hydrochloride,CVCL_0028,2439
AZD2858,CVCL_0131,2439
Almonertinib (mesylate),CVCL_0028,2438
Penfluridol,CVCL_0069,2438
Torkinib,CVCL_1693,2438
OTS514,CVCL_1098,2437
Alpelisib,CVCL_0218,2437
Erdafitinib,CVCL_1056,2436
L-Thyroxine (sodium salt pentahydrate),CVCL_0334,2435
Canagliflozin,CVCL_1666,2435
Methotrexate,CVCL_1724,2435
Phenylephrine (hydrochloride),CVCL_1724,2435
"Dapagliflozin ((2S)-1,2-propanediol, hydrate)",CVCL_1635,2434
Pentamidine (isethionate),CVCL_0028,2434
Sulfisoxazole,CVCL_0028,2433
Lidocaine (hydrochloride),CVCL_C466,2433
Bentamapimod,CVCL_0179,2432
Cobimetinib,CVCL_0359,2432
Celecoxib,CVCL_1635,2431
18β-Glycyrrhetinic acid,CVCL_0292,2430
Cobimetinib,CVCL_1635,2429
Penfluridol,CVCL_0099,2429
Macitentan,CVCL_1239,2429
Lenalidomide (hemihydrate),CVCL_0292,2429
Methotrexate,CVCL_1098,2428
Abemaciclib,CVCL_1724,2428
Altretamine,CVCL_C466,2427
Pemigatinib,CVCL_0152,2426
CP21R7,CVCL_1495,2426
Epirubicin (hydrochloride),CVCL_0218,2425
Penfluridol,CVCL_0292,2425
Olanzapine,CVCL_0099,2425
Proglumide,CVCL_0366,2424
Benproperine (phosphate),CVCL_0366,2424
Infigratinib,CVCL_0428,2423
Valdecoxib,CVCL_1517,2423
Lopinavir,CVCL_0179,2423
DT-061,CVCL_1693,2422
Ferulic acid,CVCL_0099,2422
Elimusertib hydrochloride,CVCL_1495,2421
Verteporfin,CVCL_0218,2421
Oxaliplatin,CVCL_1239,2421
Menadione,CVCL_0359,2421
EX229,CVCL_1666,2421
MK-3903,CVCL_1381,2420
Sonidegib,CVCL_C466,2420
Lidocaine (hydrochloride),CVCL_1098,2420
Elimusertib hydrochloride,CVCL_1693,2419
Saquinavir,CVCL_C466,2418
Imiquimod (maleate),CVCL_0320,2418
Trimetrexate,CVCL_1724,2418
CP21R7,CVCL_1094,2418
Bortezomib,CVCL_1547,2417
Sivelestat (sodium tetrahydrate),CVCL_1098,2416
Fumaric acid,CVCL_0028,2415
Belinostat,CVCL_0218,2414
Epirubicin (hydrochloride),CVCL_0293,2414
Menadione,CVCL_0293,2414
Ralimetinib dimesylate,CVCL_0099,2414
Zileuton,CVCL_1724,2412
GSK1059615,CVCL_1666,2412
9-ING-41,CVCL_1724,2411
Nimesulide,CVCL_0218,2411
Procainamide (hydrochloride),CVCL_0332,2410
Rifaximin,CVCL_1517,2409
DTP3,CVCL_1239,2408
Cytarabine (hydrochloride),CVCL_1517,2408
Levobupivacaine (hydrochloride),CVCL_1517,2408
Hesperidin,CVCL_0218,2407
HI-TOPK-032,CVCL_1731,2407
Lonafarnib,CVCL_1724,2407
Ponatinib,CVCL_1055,2406
Benztropine (mesylate),CVCL_1098,2406
Sinomenine,CVCL_0099,2406
Finasteride,CVCL_1547,2406
Epirubicin (hydrochloride),CVCL_1094,2405
Simotinib,CVCL_0131,2404
Auranofin,CVCL_0099,2403
Doxycycline (monohydrate),CVCL_1097,2403
Cysteamine (hydrochloride),CVCL_0099,2403
Clofarabine,CVCL_0397,2402
Docetaxel,CVCL_0028,2402
Dexamethasone,CVCL_0179,2401
Fluvoxamine,CVCL_0179,2401
Clopidogrel,CVCL_1098,2401
"Dapagliflozin ((2S)-1,2-propanediol, hydrate)",CVCL_0152,2400
L-Eflornithine (monohydrochloride),CVCL_0179,2400
Pemetrexed,CVCL_0131,2400
Rifaximin,CVCL_1239,2399
Sunitinib,CVCL_1517,2398
Pimozide,CVCL_0218,2398
Ixazomib,CVCL_0332,2398
Pimozide,CVCL_0366,2397
Digitoxin,CVCL_0179,2397
Glycyrrhizic acid,CVCL_1717,2397
TAK-901,CVCL_1693,2397
Furosemide,CVCL_1239,2396
Oxaprozin,CVCL_0218,2395
Volasertib,CVCL_0332,2395
IQ 1,CVCL_0218,2394
Encorafenib,CVCL_0292,2393
Atazanavir (sulfate),CVCL_0179,2392
c-Kit-IN-1,CVCL_1239,2392
Menadione,CVCL_0069,2392
Pitavastatin (Calcium),CVCL_0023,2392
MK-8353,CVCL_1724,2390
TAK-733,CVCL_1635,2389
Methylprednisolone succinate,CVCL_0366,2389
Macitentan,CVCL_1517,2388
Lapatinib ditosylate,CVCL_0428,2388
Mozavaptan,CVCL_1097,2388
Glycyrrhizic acid,CVCL_0152,2388
Irinotecan,CVCL_0428,2387
Ixazomib citrate,CVCL_0366,2387
Tranilast,CVCL_0179,2385
BAY1125976,CVCL_0428,2384
APTO-253,CVCL_1724,2384
Pexidartinib (hydrochloride),CVCL_1724,2384
Bortezomib,CVCL_1094,2384
Tucidinostat,CVCL_1239,2383
Fenofibrate,CVCL_C466,2383
Clobetasol propionate,CVCL_1239,2382
OTS514,CVCL_0069,2382
AZD2858,CVCL_1550,2381
Salicylic acid,CVCL_0028,2381
Ranolazine,CVCL_0179,2380
Menadione,CVCL_1717,2380
Doxycycline (monohydrate),CVCL_0359,2380
4EGI-1,CVCL_0334,2379
Finasteride,CVCL_0332,2379
Ivabradine (hydrochloride),CVCL_0179,2379
Futibatinib,CVCL_0218,2378
Trametinib,CVCL_0028,2378
Rosiglitazone,CVCL_1239,2378
Glycyrrhizic acid,CVCL_0069,2377
Clofarabine,CVCL_0218,2377
Dorzolamide (hydrochloride),CVCL_1239,2376
Pimozide,CVCL_1517,2375
Harringtonine,CVCL_1724,2374
Volasertib,CVCL_0179,2374
vincristine,CVCL_0359,2374
18β-Glycyrrhetinic acid,CVCL_0334,2373
Brivudine,CVCL_1724,2371
Benproperine (phosphate),CVCL_0179,2371
Sunitinib,CVCL_1094,2371
Fenofibrate,CVCL_0366,2370
Sonidegib,CVCL_0179,2370
Drospirenone,CVCL_1724,2370
Digitoxin,CVCL_1731,2369
SBI-0640756,CVCL_1097,2368
Simotinib,CVCL_0293,2367
palbociclib,CVCL_0179,2367
Lapatinib ditosylate,CVCL_1693,2367
Tomivosertib,CVCL_0292,2367
Oleic acid,CVCL_0428,2366
HI-TOPK-032,CVCL_0366,2366
AZD-7648,CVCL_0218,2365
Sodium Salicylate,CVCL_0099,2365
AZD-7648,CVCL_1098,2364
5-Fluorouracil,CVCL_1724,2364
Docetaxel (Trihydrate),CVCL_1666,2363
olaparib,CVCL_1239,2362
Idarubicin (hydrochloride),CVCL_0334,2362
Pimitespib,CVCL_1094,2362
Simotinib,CVCL_1717,2361
OTS514,CVCL_1094,2361
Hesperidin,CVCL_0099,2360
Gemfibrozil,CVCL_0099,2360
AZD-7648,CVCL_1731,2360
Fluvoxamine,CVCL_C466,2359
TAK-733,CVCL_1666,2359
Saquinavir,CVCL_0428,2359
Betamethasone dipropionate,CVCL_0218,2359
Lonafarnib,CVCL_1239,2358
crizotinib,CVCL_0179,2358
Lactate (calcium),CVCL_0179,2357
Valdecoxib,CVCL_1055,2356
Pentoxifylline,CVCL_0179,2356
Captopril,CVCL_1098,2354
Clofarabine,CVCL_1055,2354
Menadione,CVCL_1635,2354
Tazarotene,CVCL_0179,2354
DT-061,CVCL_0428,2353
c-Kit-IN-1,CVCL_0179,2353
Flutamide,CVCL_0179,2352
Brivudine,CVCL_0292,2352
EX229,CVCL_1098,2351
Auranofin,CVCL_1239,2351
Verapamil,CVCL_0179,2350
Tomivosertib,CVCL_1724,2349
Trametinib (DMSO_TF solvate),CVCL_1724,2348
Malotilate,CVCL_1724,2347
TAK-901,CVCL_1666,2347
Arbutin,CVCL_0366,2346
Aspirin,CVCL_1724,2346
Belzutifan,CVCL_0320,2346
Cobimetinib,CVCL_0131,2345
Citalopram (hydrobromide),CVCL_1724,2345
Clofarabine,CVCL_1478,2345
AZD1390,CVCL_1094,2345
Imiquimod (maleate),CVCL_0504,2345
MK-3903,CVCL_1666,2344
Omeprazole (sodium),CVCL_1098,2344
Benproperine (phosphate),CVCL_1239,2344
Isocorydine,CVCL_0099,2343
Decitabine,CVCL_0366,2343
SBI-0640756,CVCL_C466,2342
Triclosan,CVCL_0028,2342
PH-797804,CVCL_1666,2342
Ipatasertib,CVCL_0428,2341
Sonidegib,CVCL_1055,2340
Bortezomib,CVCL_1635,2340
Lopinavir,CVCL_1724,2340
Roxadustat,CVCL_1517,2340
Plicamycin,CVCL_1724,2340
Rifaximin,CVCL_C466,2339
SBI-0640756,CVCL_1119,2339
Proglumide,CVCL_0179,2337
Silodosin,CVCL_1547,2336
Cyclosporin A,CVCL_1098,2336
